Ship Name                                    ,Record Group,Entry Number,Box or Volume Number,Digital Directory ,Start Date,End Date,Box or Volume Number,Assets,Number of Images,Number of Pages,NARA URL,Geographic Focus
ATALANTA,26,159-A,Box 327,atalanta-1936-06,06/01/1936,06/30/1936,Box 327,1,66,66,https://catalog.archives.gov/id/23671101,Arctic
ATALANTA,26,159-A,Box 327,atalanta-1936-07,07/01/1936,07/31/1936,Box 327,1,71,71,https://catalog.archives.gov/id/23671169,Arctic
ATALANTA,26,159-A,Box 327,atalanta-1936-08,08/01/1936,08/31/1936,Box 327,1,68,68,https://catalog.archives.gov/id/23671242,Arctic
ATALANTA,26,159-A,Box 327,atalanta-1936-09,09/01/1936,09/30/1936,Box 327,1,64,64,https://catalog.archives.gov/id/23671312,Arctic
ATALANTA,26,159-A,Box 327,atalanta-1936-10,10/01/1936,10/31/1936,Box 327,1,65,65,https://catalog.archives.gov/id/23671378,Arctic
ATALANTA,26,159-A,Box 327,atalanta-1936-11,11/01/1936,11/30/1936,Box 327,1,65,65,https://catalog.archives.gov/id/23671445,Arctic
ATALANTA,26,159-A,Box 327,atalanta-1936-12,12/01/1936,12/31/1936,Box 327,1,65,65,https://catalog.archives.gov/id/23671512,Arctic
ATALANTA,26,159-A,Box 328,atalanta-1938-01,01/01/1938,01/31/1938,Box 328,1,62,62,https://catalog.archives.gov/id/23671579,Arctic
ATALANTA,26,159-A,Box 328,atalanta-1938-02,02/01/1938,02/28/1938,Box 328,1,57,57,https://catalog.archives.gov/id/23671643,Arctic
ATALANTA,26,159-A,Box 328,atalanta-1938-03,03/01/1938,03/31/1938,Box 328,1,62,62,https://catalog.archives.gov/id/23671702,Arctic
ATALANTA,26,159-A,Box 328,atalanta-1938-04,04/01/1938,04/30/1938,Box 328,1,62,62,https://catalog.archives.gov/id/23671766,Arctic
ATALANTA,26,159-A,Box 328,atalanta-1938-05,05/01/1938,05/31/1938,Box 328,1,66,66,https://catalog.archives.gov/id/23671830,Arctic
ATALANTA,26,159-A,Box 328,atalanta-1938-06,06/01/1938,06/30/1938,Box 328,1,62,62,https://catalog.archives.gov/id/23671898,Arctic
ATALANTA,26,159-A,Box 328,atalanta-1938-07,07/01/1938,07/31/1938,Box 328,1,64,64,https://catalog.archives.gov/id/23671962,Arctic
ATALANTA,26,159-A,Box 328,atalanta-1938-08,08/01/1938,08/31/1938,Box 328,1,64,64,https://catalog.archives.gov/id/23672028,Arctic
ATALANTA,26,159-A,Box 328,atalanta-1938-09,09/01/1938,09/30/1938,Box 328,1,60,60,https://catalog.archives.gov/id/23672094,Arctic
ATALANTA,26,159-A,Box 328,atalanta-1938-10,10/01/1938,10/31/1938,Box 328,1,64,64,https://catalog.archives.gov/id/23672156,Arctic
ATALANTA,26,159-A,Box 328,atalanta-1938-11,11/01/1938,11/30/1938,Box 328,1,60,60,https://catalog.archives.gov/id/23672222,Arctic
ATALANTA,26,159-A,Box 328,atalanta-1938-12,12/01/1938,12/31/1938,Box 328,1,62,62,https://catalog.archives.gov/id/23672284,Arctic
