MCARTHUR,23,102,2004,mcarthur-b2004,12/26/1876,08/11/1879,2004,1,505,1008,NOT SHIPPED YET,USCGS
MCARTHUR,23,102,2005,mcarthur-b2005,08/12/1879,01/10/1883,2005,1,508,1014,NOT SHIPPED YET,USCGS
MCARTHUR,23,102,2006,mcarthur-b2006,1/11/1883,08/21/1885,2006,1,494,986,NOT SHIPPED YET,USCGS
MCARTHUR,23,102,2007,mcarthur-b2007,08/22/1885,10/31/1887,2007,1,503,1004,NOT SHIPPED YET,USCGS
MCARTHUR,23,102,2008,mcarthur-b2008,11/1/1887,04/30/1890,2008,1,492,982,NOT SHIPPED YET,USCGS
MCARTHUR,23,102,2009 - rough,mcarthur-b2009,05/08/1891,07/31/1891,2009 - rough,1,96,190,NOT SHIPPED YET,USCGS
MCARTHUR,23,102,2009 - smooth,mcarthur-b2009,05/01/1890,07/31/1891,2009 - smooth,1,391,780,NOT SHIPPED YET,USCGS
MCARTHUR,23,102,2010 - rough,mcarthur-b2010-rough,08/01/1891,04/30/1892,2010 - rough,1,301,600,NOT SHIPPED YET,USCGS
MCARTHUR,23,102,2010 - smooth,mcarthur-b2010-smooth,08/01/1891,01/31/1892,2010 - smooth,1,196,390,NOT SHIPPED YET,USCGS
MCARTHUR,23,102,2011 - rough,mcarthur-b2011-rough,05/01/1892,10/24/1892,2011 - rough,1,201,400,NOT SHIPPED YET,USCGS
MCARTHUR,23,102,2011 - smooth,mcarthur-b2011-smooth,02/01/1892,10/31/1892,2011 - smooth,1,290,578,NOT SHIPPED YET,USCGS
MCARTHUR,23,102,2012 - rough,mcarthur-b2012-rough,11/01/1892,04/30/1893,2012 - rough,1,197,392,NOT SHIPPED YET,USCGS
MCARTHUR,23,102,2012 - smooth,mcarthur-b2012-smooth,11/01/1892,07/31/1893,2012 - smooth,1,289,576,NOT SHIPPED YET,USCGS
MCARTHUR,23,102,2013 - rough,mcarthur-b2013-rough,05/01/1893,01/01/1894,2013 - rough,1,303,604,NOT SHIPPED YET,USCGS
MCARTHUR,23,102,2013 - smooth,mcarthur-b2013-smooth,08/01/1893,01/31/1894,2013 - smooth,1,194,386,NOT SHIPPED YET,USCGS
MCARTHUR,23,102,2014 - rough,mcarthur-b2014-rough,02/01/1894,10/31/1894,2014 - rough,1,300,598,NOT SHIPPED YET,USCGS
MCARTHUR,23,102,2014 - smooth,mcarthur-b2014-smooth,02/01/1894,08/01/1894,2014 - smooth,1,197,392,NOT SHIPPED YET,USCGS
MCARTHUR,23,102,2015- rough,mcarthur-b2015-rough,11/01/1894,05/29/1895,2015- rough,1,221,440,NOT SHIPPED YET,USCGS
MCARTHUR,23,102,2015 - smooth,mcarthur-b2015-smooth,08/01/1894,05/28/1895,2015 - smooth,1,318,634,NOT SHIPPED YET,USCGS
MCARTHUR,23,102,2016- rough,mcarthur-b2016-rough,05/29/1895,02/29/1896,2016- rough,1,300,598,NOT SHIPPED YET,USCGS
MCARTHUR,23,102,2016 - smooth,mcarthur-b2016-smooth,05/29/1895,11/30/1895,2016 - smooth,1,197,388,NOT SHIPPED YET,USCGS
MCARTHUR,23,102,2017- rough,mcarthur-b2017-rough,03/03/1896,08/31/1896,2017- rough,1,199,396,NOT SHIPPED YET,USCGS
MCARTHUR,23,102,2017 - smooth,mcarthur-b2017-smooth,12/01/1895,08/31/1896,2017 - smooth,1,293,586,NOT SHIPPED YET,USCGS
MCARTHUR,23,102,2018- rough,mcarthur-b2018-rough,09/01/1896,02/28/1897,2018- rough,1,193,384,NOT SHIPPED YET,USCGS
MCARTHUR,23,102,2018 - smooth,mcarthur-b2018-smooth,09/01/1896,09/01/1897,2018 - smooth,1,387,774,NOT SHIPPED YET,USCGS
MCARTHUR,23,102,2019,mcarthur-b2019,09/01/1897,09/30/1898,2019,1,417,832,NOT SHIPPED YET,USCGS
MCARTHUR,23,102,2020,mcarthur-b2020,07/01/1898,09/30/1899,2020,1,386,770,NOT SHIPPED YET,USCGS
MCARTHUR,23,102,b2022,mcarthur-b2022,01/01/1901,11/30/1901,b2022,1,446,892,NOT SHIPPED YET,USCGS
MCARTHUR,23,102,b2023,mcarthur-b2023,08/01/1902,06/30/1905,b2023,1,374,748,NOT SHIPPED YET,USCGS
MCARTHUR,23,102,b2024,mcarthur-b2024,07/01/1905,12/04/1906,b2024,1,395,790,NOT SHIPPED YET,USCGS
MCARTHUR,23,102,b2025,mcarthur-b2025,04/11/1907,06/30/1908,b2025,1,472,944,NOT SHIPPED YET,USCGS
MCARTHUR,23,102,b2026,mcarthur-b2026,07/01/1908,09/30/1909,b2026,1,476,952,NOT SHIPPED YET,USCGS
MCARTHUR,23,102,b2027,mcarthur-b2027,10/01/1909,12/31/1910,b2027,1,499,998,NOT SHIPPED YET,USCGS
MCARTHUR,23,102,b2028~,mcarthur-b2028,01/01/1911,03/31/1912,b2028~,1,512,1020,NOT SHIPPED YET,USCGS
MCARTHUR,23,102,b2029,mcarthur-b2029,04/01/1912,06/30/1913,b2029,1,491,977,NOT SHIPPED YET,USCGS
MCARTHUR,23,102,b2030~,mcarthur-b2030,07/01/1913,09/30/1914,b2030~,1,489,978,NOT SHIPPED YET,USCGS
MCARTHUR,23,102,b2031~,mcarthur-b2031,10/01/1914,12/31/1915,b2031~,1,612,1220,NOT SHIPPED YET,USCGS
MCARTHUR,23,102,b2032,mcarthur-b2032_medical-log,04/23/1906,10/09/1912,b2032,1,521,1042,NOT SHIPPED YET,USCGS
MCARTHUR,23,102,b2033,mcarthur-b2033_medical-log,04/07/1913,05/02/1916,b2033,1,390,780,NOT SHIPPED YET,USCGS
